Year,Month,Day,BeginHour,Vp,Dp,Bz,Kp3,
2000.00,9.00,7.00,1200.00,437.00,1.10,-5.60,2.67,
2000.00,9.00,7.00,1500.00,426.30,1.90,-7.90,3.33,
2000.00,9.00,7.00,1800.00,410.70,2.90,-7.40,3.33,
2000.00,9.00,7.00,2100.00,418.40,3.80,-7.20,3.33,
2000.00,9.00,8.00,0.00,400.60,1.70,-3.30,3.00,
2000.00,9.00,8.00,300.00,415.10,1.50,-4.40,2.00,
2000.00,9.00,8.00,600.00,406.80,3.90,-5.20,2.67,
2000.00,9.00,8.00,900.00,468.80,7.20,-9.20,3.67,
2000.00,9.00,8.00,1200.00,487.70,2.30,-8.10,3.67,
2000.00,9.00,8.00,1500.00,487.60,6.40,-3.10,3.67,
2000.00,9.00,8.00,1800.00,457.20,6.70,2.90,3.00,
2000.00,9.00,8.00,2100.00,461.10,2.60,1.20,3.67,
2000.00,9.00,9.00,0.00,465.40,2.60,4.20,2.33,
2000.00,9.00,9.00,300.00,455.80,1.70,2.50,2.00,
2000.00,9.00,9.00,600.00,448.70,4.20,4.10,1.67,
2000.00,9.00,9.00,1200.00,431.10,2.90,2.90,2.00,
2000.00,9.00,9.00,1500.00,409.80,1.70,1.50,1.00,
2000.00,9.00,9.00,1800.00,394.70,1.80,1.10,0.33,
2000.00,9.00,9.00,2100.00,384.70,2.00,1.40,0.00,
2000.00,9.00,10.00,0.00,375.70,1.80,2.20,0.00,
2000.00,9.00,10.00,300.00,369.20,1.80,-1.10,0.33,
2000.00,9.00,10.00,600.00,382.70,3.70,3.10,0.67,
2000.00,9.00,10.00,900.00,378.30,4.90,-2.90,1.67,
2000.00,9.00,10.00,1200.00,393.70,2.30,4.40,1.00,
2000.00,9.00,10.00,1500.00,386.90,3.30,1.50,1.33,
2000.00,9.00,10.00,1800.00,382.90,3.10,0.80,1.67,
2000.00,9.00,10.00,2100.00,376.60,2.50,1.80,1.33,
2000.00,9.00,11.00,0.00,377.40,2.20,1.80,0.00,
2000.00,9.00,11.00,300.00,369.60,2.40,1.40,0.00,
2000.00,9.00,11.00,600.00,364.50,2.80,1.00,0.33,
2000.00,9.00,11.00,900.00,366.20,5.60,2.30,1.00,
2000.00,9.00,11.00,1200.00,363.20,4.90,0.90,1.33,
2000.00,9.00,11.00,1500.00,352.60,1.50,-6.00,2.33,
2000.00,9.00,11.00,1800.00,346.20,3.10,-1.60,1.33,
2000.00,9.00,11.00,2100.00,336.70,3.00,0.10,1.67,
2000.00,9.00,12.00,0.00,341.50,3.70,-2.30,2.00,
2000.00,9.00,12.00,300.00,358.80,4.60,-7.40,3.33,
2000.00,9.00,12.00,600.00,363.90,14.00,3.50,2.67,
2000.00,9.00,12.00,900.00,360.10,5.90,-8.60,4.00,
2000.00,9.00,12.00,1200.00,375.50,4.80,-5.80,4.33,
2000.00,9.00,12.00,1500.00,380.50,6.20,-3.70,3.00,
